signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,n_obs,r_squared,coefficient_value,t_stat,p_value
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,beta,False,2902,0.012150452094697672,0.0005458128481136709,0.05379902676463989,0.9570952849276648
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,bm,False,2902,0.012150452094697672,-0.003727844031429499,-0.21801196081384225,0.8274197921851995
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,const,False,2902,0.012150452094697672,-0.06780251250469382,-0.7637275068476165,0.4450296451626323
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,idiovol,False,2902,0.012150452094697672,0.10132466327310863,0.4106263024851022,0.6813465740237439
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,ill,False,2902,0.012150452094697672,389.3437290227529,1.287431189926937,0.19794403892898793
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,maxret,False,2902,0.012150452094697672,-0.505338231757736,-1.851221514893548,0.06413769177718469
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,mom1m,False,2902,0.012150452094697672,-0.017150724841683784,-0.36791122944890275,0.7129394267414317
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,mve,False,2902,0.012150452094697672,0.0037752693704945217,0.6344536878834834,0.525784781610615
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,retvol,False,2902,0.012150452094697672,1.9225323394562959,1.6659277691844403,0.09572780190333342
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,std_dolvol,False,2902,0.012150452094697672,0.03482466397236228,1.962499020691518,0.049704414515409606
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,std_turn,False,2902,0.012150452094697672,-0.0001806568248196277,-0.3291211796933367,0.7420640961443565
FEPS,fixed_x_obs,outside_signal_coverage,baseline_missing_only,turn,False,2902,0.012150452094697672,-0.0005292538579588364,-0.20227116475254378,0.8397047412350895
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,age,False,2902,0.012150493159880149,-0.0014886502205767385,-1.617258150729055,0.10582256871452818
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,baspread,False,2902,0.012150493159880149,-0.6130227837543103,-1.6139162869859283,0.10654558540216957
