signal,coverage_basis,dimension,group_value,total_count,non_missing_count,coverage_rate
FEPS,tier1,exchange,3,1035803,717984,0.6931665577334686
FEPS,tier1,overall,all,1726967,1278809,0.7404941727317315
FEPS,tier1,size_bucket,1,264031,97718,0.3701004806253811
FEPS,tier1,size_bucket,2,339518,206170,0.6072432094911021
FEPS,tier1,size_bucket,3,367892,286834,0.779669033303252
FEPS,tier1,size_bucket,4,376436,331616,0.880935935989119
FEPS,tier1,size_bucket,5,379090,356471,0.9403334300561872
FEPS,tier1,year,1988,41477,14502,0.3496395592738144
FEPS,tier1,year,1989,42465,29915,0.7044624985281996
FEPS,tier1,year,1990,42649,30663,0.7189617576027574
FEPS,tier1,year,1991,43471,30383,0.6989257205953394
FEPS,tier1,year,1992,44653,30445,0.6818130920654827
FEPS,tier1,year,1993,47982,32327,0.6737318160977033
FEPS,tier1,year,1994,54024,36075,0.6677587738782763
FEPS,tier1,year,1995,60998,41496,0.6802845994950654
FEPS,tier1,year,1996,63645,44640,0.7013905255715296
FEPS,tier1,year,1997,66538,47459,0.7132615948781148
FEPS,tier1,year,1998,67689,50312,0.7432817739957748
FEPS,tier1,year,1999,65063,49083,0.7543918970843644
FEPS,tier1,year,2000,62471,45897,0.7346928975044421
FEPS,tier1,year,2001,60139,42891,0.7131977585260812
FEPS,tier1,year,2002,57332,39842,0.694934765924789
FEPS,tier1,year,2003,53731,37551,0.6988702983380172
FEPS,tier1,year,2004,51294,36863,0.7186610519748898
FEPS,tier1,year,2005,50116,37231,0.7428964801660148
FEPS,tier1,year,2006,49533,37711,0.7613308299517494
FEPS,tier1,year,2007,48469,37894,0.7818193071860364
FEPS,tier1,year,2008,47294,37122,0.7849198629847338
FEPS,tier1,year,2009,45632,36156,0.7923387096774194
FEPS,tier1,year,2010,43609,36181,0.8296681877594074
FEPS,tier1,year,2011,41813,34482,0.8246717528041518
FEPS,tier1,year,2012,40557,33369,0.8227679562097788
FEPS,tier1,year,2013,39404,33005,0.8376053192569283
FEPS,tier1,year,2014,39089,32383,0.8284427844150528
FEPS,tier1,year,2015,39747,32794,0.8250685586333559
FEPS,tier1,year,2016,39938,33472,0.8380990535329761
FEPS,tier1,year,2017,39126,32923,0.8414609211266165
FEPS,tier1,year,2018,38469,32323,0.8402349944110843
FEPS,tier1,year,2019,38380,32414,0.8445544554455445
FEPS,tier1,year,2020,38378,32618,0.8499140132367502
FEPS,tier1,year,2021,38947,33154,0.8512594038051712
FEPS,tier1,year,2022,40801,34644,0.8490968358618661
FEPS,tier1,year,2023,42044,18589,0.44213205213585766
ForecastDispersion,raw,exchange,1,567120,390066,0.6878015234870927
ForecastDispersion,raw,exchange,2,124044,26364,0.21253748669826836
ForecastDispersion,raw,exchange,3,1035803,471394,0.45510005280926974
ForecastDispersion,raw,overall,all,1726967,887824,0.5140943631233255
ForecastDispersion,raw,size_bucket,1,264031,28154,0.10663141828042919
ForecastDispersion,raw,size_bucket,2,339518,104852,0.30882604162371363
ForecastDispersion,raw,size_bucket,3,367892,197004,0.535494112402553
ForecastDispersion,raw,size_bucket,4,376436,260639,0.6923859567097728
ForecastDispersion,raw,size_bucket,5,379090,297175,0.7839167480017938
ForecastDispersion,raw,year,1988,41477,19138,0.46141234901270584
ForecastDispersion,raw,year,1989,42465,20083,0.47293064876957497
ForecastDispersion,raw,year,1990,42649,20161,0.47271917278248027
ForecastDispersion,raw,year,1991,43471,20084,0.4620091555289733
ForecastDispersion,raw,year,1992,44653,20931,0.46874790047701165
ForecastDispersion,raw,year,1993,47982,23519,0.4901629777833354
ForecastDispersion,raw,year,1994,54024,26740,0.49496520065156224
ForecastDispersion,raw,year,1995,60998,29181,0.47839273418800615
ForecastDispersion,raw,year,1996,63645,31311,0.49196323356115956
ForecastDispersion,raw,year,1997,66538,33722,0.5068081397096396
ForecastDispersion,raw,year,1998,67689,34433,0.5086941748289974
ForecastDispersion,raw,year,1999,65063,32510,0.49966955105052024
ForecastDispersion,raw,year,2000,62471,30088,0.4816314770053305
ForecastDispersion,raw,year,2001,60139,27432,0.4561432680955786
ForecastDispersion,raw,year,2002,57332,25278,0.44090560245587107
ForecastDispersion,raw,year,2003,53731,24984,0.4649829707245352
ForecastDispersion,raw,year,2004,51294,25993,0.5067454283152025
ForecastDispersion,raw,year,2005,50116,26269,0.5241639396599889
ForecastDispersion,raw,year,2006,49533,26752,0.540084388185654
ForecastDispersion,raw,year,2007,48469,26469,0.5461016319709505
ForecastDispersion,raw,year,2008,47294,25770,0.5448894151477989
ForecastDispersion,raw,year,2009,45632,24154,0.5293215287517532
ForecastDispersion,raw,year,2010,43609,24566,0.5633240844779748
ForecastDispersion,raw,year,2011,41813,23984,0.5736015114916414
ForecastDispersion,raw,year,2012,40557,23992,0.591562492294795
ForecastDispersion,raw,year,2013,39404,23328,0.592021114607654
ForecastDispersion,raw,year,2014,39089,23864,0.6105042339277035
ForecastDispersion,raw,year,2015,39747,24124,0.60693888846957
ForecastDispersion,raw,year,2016,39938,24137,0.6043617607291302
ForecastDispersion,raw,year,2017,39126,23472,0.5999079895721515
ForecastDispersion,raw,year,2018,38469,23356,0.6071382151862539
ForecastDispersion,raw,year,2019,38380,23666,0.6166232412714956
ForecastDispersion,raw,year,2020,38378,23859,0.6216842982958987
ForecastDispersion,raw,year,2021,38947,24669,0.6333992348576271
ForecastDispersion,raw,year,2022,40801,25805,0.6324599887257665
ForecastDispersion,raw,year,2023,42044,0,0.0
ForecastDispersion,tier1,exchange,1,567120,385131,0.6790996614473127
ForecastDispersion,tier1,exchange,2,124044,24595,0.19827641804520976
ForecastDispersion,tier1,exchange,3,1035803,454949,0.4392234816852239
ForecastDispersion,tier1,overall,all,1726967,864675,0.5006899379084835
ForecastDispersion,tier1,size_bucket,1,264031,33240,0.1258943078653643
ForecastDispersion,tier1,size_bucket,2,339518,103599,0.30513551564276414
ForecastDispersion,tier1,size_bucket,3,367892,186976,0.5082361127722266
ForecastDispersion,tier1,size_bucket,4,376436,248469,0.6600564239339489
ForecastDispersion,tier1,size_bucket,5,379090,292391,0.7712970534701522
ForecastDispersion,tier1,year,1988,41477,8944,0.21563758227451357
ForecastDispersion,tier1,year,1989,42465,19117,0.45018250323796066
ForecastDispersion,tier1,year,1990,42649,19782,0.46383268071936035
ForecastDispersion,tier1,year,1991,43471,19798,0.45543005681948884
ForecastDispersion,tier1,year,1992,44653,20263,0.4537880993438291
ForecastDispersion,tier1,year,1993,47982,21714,0.45254470426409904
ForecastDispersion,tier1,year,1994,54024,24626,0.45583444395083667
ForecastDispersion,tier1,year,1995,60998,27648,0.4532607626479557
ForecastDispersion,tier1,year,1996,63645,29315,0.46060177547332865
ForecastDispersion,tier1,year,1997,66538,31195,0.46882984159427693
ForecastDispersion,tier1,year,1998,67689,32959,0.4869181107713218
ForecastDispersion,tier1,year,1999,65063,32072,0.49293761431228195
ForecastDispersion,tier1,year,2000,62471,29852,0.47785372412799537
ForecastDispersion,tier1,year,2001,60139,27331,0.4544638254709922
ForecastDispersion,tier1,year,2002,57332,25758,0.4492778901834926
ForecastDispersion,tier1,year,2003,53731,24574,0.45735236641789656
ForecastDispersion,tier1,year,2004,51294,24975,0.48689905252076265
ForecastDispersion,tier1,year,2005,50116,25358,0.5059861122196504
ForecastDispersion,tier1,year,2006,49533,25797,0.520804312276664
ForecastDispersion,tier1,year,2007,48469,25729,0.5308341414099734
ForecastDispersion,tier1,year,2008,47294,25400,0.5370660126020214
ForecastDispersion,tier1,year,2009,45632,24523,0.5374079593267882
ForecastDispersion,tier1,year,2010,43609,23792,0.5455754546079937
ForecastDispersion,tier1,year,2011,41813,23756,0.5681486618994093
ForecastDispersion,tier1,year,2012,40557,23333,0.5753137559484183
ForecastDispersion,tier1,year,2013,39404,23206,0.5889249822353061
ForecastDispersion,tier1,year,2014,39089,23069,0.5901660313643224
ForecastDispersion,tier1,year,2015,39747,23372,0.5880192215764711
ForecastDispersion,tier1,year,2016,39938,23576,0.5903149882317592
ForecastDispersion,tier1,year,2017,39126,23172,0.5922404539181108
ForecastDispersion,tier1,year,2018,38469,22692,0.589877563752632
ForecastDispersion,tier1,year,2019,38380,22943,0.5977853048462741
ForecastDispersion,tier1,year,2020,38378,23288,0.6068059825941946
ForecastDispersion,tier1,year,2021,38947,23644,0.607081418337741
ForecastDispersion,tier1,year,2022,40801,24476,0.5998872576652533
ForecastDispersion,tier1,year,2023,42044,13626,0.32408904956712015
REV6,raw,exchange,1,567120,502872,0.8867118070249682
REV6,raw,exchange,2,124044,49798,0.4014543226597014
REV6,raw,exchange,3,1035803,695631,0.6715861993062388
REV6,raw,overall,all,1726967,1248301,0.7228285195953368
REV6,raw,size_bucket,1,264031,75179,0.28473550454302715
REV6,raw,size_bucket,2,339518,189310,0.5575845757809601
REV6,raw,size_bucket,3,367892,284333,0.7728708425298729
REV6,raw,size_bucket,4,376436,338182,0.8983784760224846
REV6,raw,size_bucket,5,379090,361297,0.9530639162204226
REV6,raw,year,1988,41477,28083,0.6770740410347904
REV6,raw,year,1989,42465,28664,0.6750029436006123
REV6,raw,year,1990,42649,29198,0.6846115969893785
REV6,raw,year,1991,43471,29160,0.6707920222677187
REV6,raw,year,1992,44653,29389,0.6581640651244037
REV6,raw,year,1993,47982,32657,0.6806093951898629
REV6,raw,year,1994,54024,36974,0.6843995261365319
REV6,raw,year,1995,60998,41619,0.6823010590511164
REV6,raw,year,1996,63645,44128,0.6933459030560138
REV6,raw,year,1997,66538,47817,0.7186419790195077
REV6,raw,year,1998,67689,49364,0.7292765441947732
REV6,raw,year,1999,65063,48045,0.7384381291978543
REV6,raw,year,2000,62471,44825,0.7175329352819708
REV6,raw,year,2001,60139,40993,0.6816375396996958
REV6,raw,year,2002,57332,36577,0.6379857671108631
REV6,raw,year,2003,53731,35541,0.6614617260054717
REV6,raw,year,2004,51294,35278,0.6877607517448434
REV6,raw,year,2005,50116,35975,0.7178346236730785
REV6,raw,year,2006,49533,36696,0.7408394403730846
REV6,raw,year,2007,48469,37104,0.7655202294249933
REV6,raw,year,2008,47294,36114,0.7636063771302913
REV6,raw,year,2009,45632,34169,0.7487947054698457
REV6,raw,year,2010,43609,34297,0.7864660964479809
REV6,raw,year,2011,41813,33243,0.7950398201516274
REV6,raw,year,2012,40557,32507,0.8015139186823483
REV6,raw,year,2013,39404,32245,0.8183179372652523
REV6,raw,year,2014,39089,32325,0.8269589910204918
REV6,raw,year,2015,39747,33171,0.8345535512114122
REV6,raw,year,2016,39938,33439,0.8372727727978366
REV6,raw,year,2017,39126,32519,0.8311353064458417
REV6,raw,year,2018,38469,32151,0.8357638618108088
REV6,raw,year,2019,38380,32417,0.8446326211568526
REV6,raw,year,2020,38378,32386,0.8438688832143415
REV6,raw,year,2021,38947,33384,0.857164865073048
REV6,raw,year,2022,40801,35847,0.878581407318448
REV6,raw,year,2023,42044,0,0.0
REV6,tier1,exchange,1,567120,502872,0.8867118070249682
REV6,tier1,exchange,2,124044,49798,0.4014543226597014
REV6,tier1,exchange,3,1035803,695631,0.6715861993062388
REV6,tier1,overall,all,1726967,1248301,0.7228285195953368
REV6,tier1,size_bucket,1,264031,75179,0.28473550454302715
REV6,tier1,size_bucket,2,339518,189310,0.5575845757809601
REV6,tier1,size_bucket,3,367892,284333,0.7728708425298729
REV6,tier1,size_bucket,4,376436,338182,0.8983784760224846
REV6,tier1,size_bucket,5,379090,361297,0.9530639162204226
REV6,tier1,year,1988,41477,28083,0.6770740410347904
REV6,tier1,year,1989,42465,28664,0.6750029436006123
REV6,tier1,year,1990,42649,29198,0.6846115969893785
REV6,tier1,year,1991,43471,29160,0.6707920222677187
REV6,tier1,year,1992,44653,29389,0.6581640651244037
REV6,tier1,year,1993,47982,32657,0.6806093951898629
REV6,tier1,year,1994,54024,36974,0.6843995261365319
REV6,tier1,year,1995,60998,41619,0.6823010590511164
REV6,tier1,year,1996,63645,44128,0.6933459030560138
REV6,tier1,year,1997,66538,47817,0.7186419790195077
REV6,tier1,year,1998,67689,49364,0.7292765441947732
REV6,tier1,year,1999,65063,48045,0.7384381291978543
REV6,tier1,year,2000,62471,44825,0.7175329352819708
REV6,tier1,year,2001,60139,40993,0.6816375396996958
REV6,tier1,year,2002,57332,36577,0.6379857671108631
REV6,tier1,year,2003,53731,35541,0.6614617260054717
REV6,tier1,year,2004,51294,35278,0.6877607517448434
REV6,tier1,year,2005,50116,35975,0.7178346236730785
REV6,tier1,year,2006,49533,36696,0.7408394403730846
REV6,tier1,year,2007,48469,37104,0.7655202294249933
REV6,tier1,year,2008,47294,36114,0.7636063771302913
REV6,tier1,year,2009,45632,34169,0.7487947054698457
REV6,tier1,year,2010,43609,34297,0.7864660964479809
REV6,tier1,year,2011,41813,33243,0.7950398201516274
REV6,tier1,year,2012,40557,32507,0.8015139186823483
REV6,tier1,year,2013,39404,32245,0.8183179372652523
REV6,tier1,year,2014,39089,32325,0.8269589910204918
REV6,tier1,year,2015,39747,33171,0.8345535512114122
REV6,tier1,year,2016,39938,33439,0.8372727727978366
REV6,tier1,year,2017,39126,32519,0.8311353064458417
REV6,tier1,year,2018,38469,32151,0.8357638618108088
REV6,tier1,year,2019,38380,32417,0.8446326211568526
REV6,tier1,year,2020,38378,32386,0.8438688832143415
REV6,tier1,year,2021,38947,33384,0.857164865073048
REV6,tier1,year,2022,40801,35847,0.878581407318448
REV6,tier1,year,2023,42044,0,0.0
