signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,month_count,mean_coefficient,t_stat,p_value,positive_month_share,coefficient_std,mean_cross_section_nobs,mean_cross_section_r2
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,std_turn,False,360,0.00013211797533556682,2.567507430134745,0.010243259415943921,0.55,0.0009428187017694878,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,turn,False,360,-0.0012058681487532666,-3.5917486922520703,0.0003284665203477566,0.3972222222222222,0.007297987695812563,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,x_mar_filled,True,360,-0.0002179484263965701,-0.7792850668099254,0.435811809358838,0.49166666666666664,0.004890615372973093,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,age,False,360,1.5868317630390185e-05,0.502014551563951,0.6156572850757596,0.5305555555555556,0.0005642941302321508,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,baspread,False,360,-0.05947037574806891,-1.1983442853789228,0.2307830127612137,0.3972222222222222,0.763964037178093,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,beta,False,360,0.0008431138543357386,0.5576716825482242,0.5770685977799705,0.5138888888888888,0.0266464732923492,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,bm,False,360,0.000854754128159131,0.7462583829389648,0.45551134622698064,0.5194444444444445,0.016412564614858762,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,const,False,360,0.026799621735016297,4.319419923016709,1.5643985969191812e-05,0.5777777777777777,0.10930361954988906,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,idiovol,False,360,0.026271109103086186,1.097752015612642,0.2723127896422426,0.5194444444444445,0.42843438617442564,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,ill,False,360,945.2444365104727,1.795964889758181,0.07250010114024386,0.5888888888888889,11008.82603616383,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,maxret,False,360,-0.03203815026675966,-2.701180169893653,0.00690938981170109,0.4444444444444444,0.2260237459829491,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,missing_indicator,True,360,0.00014116532364217215,0.17790757979422092,0.8587955579976195,0.5222222222222223,0.013980857509509255,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,mom1m,False,360,0.0112994801360545,2.738555163401115,0.006170980690662069,0.6027777777777777,0.07476869932061694,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,mve,False,360,-0.001030165738852612,-2.5279855519025234,0.011471907279181981,0.49166666666666664,0.007302811675111074,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,retvol,False,360,-0.009167235128342567,-0.1859934298353042,0.8524499136643102,0.49444444444444446,0.8654843069120698,3984.1833333333334,0.05716520463422798
